r0,pm,sna,bc,om
2.183666667,8.317050706,29.31370564,9.601654049,48.69402563
1.596206897,1.428646745,33.50594001,8.652343838,26.39410779
3.2455,4.595088072,22.46722398,6.0111945,31.42972557
1.9815625,7.06155563,33.10292925,8.577204293,45.57427083
2.431707317,6.03863122,29.32959521,7.04752214,42.38205511
2.318378378,3.372041574,28.92109126,7.729838962,41.79511407
3.116388889,5.916077142,41.48660459,8.636023493,39.64058707
2.53125,8.911426426,46.60449956,8.99181772,34.90107794
3.063658537,7.007216194,27.85246904,8.05075918,41.7406982
2.704,8.002697779,27.70833176,9.905431841,49.60020849
2.082,4.233582397,19.61692555,9.15538845,58.42011174
3.281707317,7.733095537,48.72094814,8.183904108,34.4893086
3.111351351,8.774633812,50.49455331,8.318631212,33.95311591
2.502058824,6.89990872,48.89335863,7.505063976,34.12611558
2.522571429,5.523493217,39.03772684,7.795766826,37.65767495
2.474594595,7.739036094,43.93502139,8.992984572,39.81169354
2.688235294,7.704645435,30.8172111,8.167999658,43.27456127
1.768666667,3.40671858,32.63712739,9.646984584,48.04096353
2.848648649,8.445859819,46.01455507,9.172879206,36.58445911
3.29275,5.498085855,38.94299502,8.812738312,42.3273717
2.749375,5.440419727,46.27989973,7.877747423,37.18086253
2.158108108,4.778221362,45.77963008,7.883123753,37.58348361
2.362258065,7.415481617,31.35787089,8.670221879,46.85610078
3.096857143,6.253267924,40.83927697,8.112390666,39.97518435
1.7459375,3.612458664,22.87736689,8.908200072,56.39992195
2.572432432,4.319104358,39.52143241,7.953722505,37.86693047
2.469473684,3.969465808,22.52474153,7.710931791,48.12559402
2.63125,4.153788289,35.71674215,9.552031098,47.74837453
3.408378378,7.659898415,45.76617953,8.965924062,35.46133555
2.2828125,3.333066672,26.71735355,7.243999178,37.4318132
3.3385,5.40901413,42.77879811,8.381389961,41.13202422
2.709487179,7.197037505,35.83275709,9.511948746,45.02466432
2.127741935,4.03097356,41.7382531,7.816971794,38.79383271
2.491515152,8.004952518,46.53509734,8.414837635,36.90425383
2.475277778,6.520403612,36.41117961,7.818242336,39.61827344
2.393658537,3.36509574,19.32235126,9.039706013,55.37092644
3.071351351,7.378759586,47.79975787,8.963406155,35.93985305
3.00525,5.401174625,39.92862721,8.343444552,38.00357944
2.175428571,7.844984128,30.69691377,9.840290179,47.98718482
2.4703125,4.236778727,39.73214614,8.021647268,38.48519954
2.468947368,7.611944652,37.18744695,9.403265605,44.54342948
2.857560976,6.450926797,33.56560309,7.053565627,35.91009397
2.214166667,3.6325468,27.19543317,7.514359645,40.46437664
2.322285714,4.369521799,37.59021129,8.700254664,47.05751639
2.591714286,6.403633818,39.50150984,9.680828298,43.27483896
1.963414634,3.603621455,24.44241209,8.821016169,55.21622314
2.077307692,6.214675375,42.905634,9.94690351,40.73878055
2.360294118,5.504789733,48.33318967,7.757597781,36.18646534
1.71516129,3.386551689,23.53808165,8.808594228,51.47851837
